via,placa,numero_placa,latitud,longitud
CR 36,91A-02,,6.28277088,-75.5453967
CR 30,79B-06,,6.27104515,-75.54344998
CR 32,92C-20,,6.28365054,-75.54449263
CR 31,70-54 (0104),,6.26497,-75.5437678
CR 45A,90-100,,6.28302415,-75.552748
CR 25,79C-04,,6.27110168,-75.54053643
CR 32,89A-31 (0107),,6.28225437,-75.54477425
CR 25,75C-01 (0294),,6.26912926,-75.53690457
CR 39,89-27 (0105),,6.28181642,-75.54858543
CR 34,85C-15,,6.27729543,-75.54595086
CR 39,89-27 (0106),,6.28184619,-75.54874754
CR 25,75C-01 (0166),,6.2695107,-75.53731329
CR 32,85C-94,,6.2778166,-75.54516439
CR 25,79C-30 (0104),,6.27129573,-75.54035254
CL 48 SUR,79B-129,,6.17995064,-75.65896989
CR 79,48 SUR-91,,6.17918499,-75.65707415
CR 79A,48A SUR-03,,6.17913395,-75.65734533
CL 86,31AA-25,,6.27796425,-75.54488143
CL 86AB,31AA-19,,6.27859734,-75.54475586
CR 79A,48A SUR-14,,6.17908022,-75.65732756
CR 79A,48A SUR-18,,6.17905561,-75.65733587
CR 79A,48A SUR-71,,6.17886864,-75.65757239
CR 79,48 SUR-45 LOTE,,6.17957951,-75.65691537
CL 48A SUR,78A-45 (0105),,6.17879477,-75.65701238
CL 48A SUR,78A-45 (0109),,6.17895871,-75.65696644
CR 79A,48A SUR-36,,6.17894059,-75.65747915
CL 107C,36A-26 (0104),,6.29512215,-75.54510941
CL 107C,35-48 (0101),,6.29500087,-75.54455663
CL 65A,142C-39 (0124),,6.28128264,-75.64218096
CR 143,64-40 (0104),,6.28115186,-75.64239091
CR 77,43A SUR-23,,6.18302027,-75.65482357
CR 78,43A SUR-18,,6.18302351,-75.65560953
CR 74,97-133,,6.29531881,-75.57676564
CR 46,116-27 (0114),,6.3022686,-75.54899634
CL 115,46-84,,6.30224892,-75.54920182
CR 48,10-89,,6.21462817,-75.57629343
CR 48,10-95,,6.21467959,-75.57628631
CR 48,10-107,,6.21478372,-75.5762719
CR 48,10-45,,6.2142321,-75.5763331
CR 49,18-536 LOTE,,6.22486331,-75.57605987
CR 43B,11A-27,,6.21303618,-75.57073731
CR 43B,11A-41,,6.21311105,-75.57072074
CR 43B,11A-31,,6.21306113,-75.57073179
CL 90BB,23-35 (0128),,6.28201049,-75.54028772
CR 22BC,93DD-18,,6.28326799,-75.53851318
CR 18D,56H-15 LOTE,,6.24785056,-75.54144332
CR 18D,56H-13 LOTE,,6.24783812,-75.54144673
CL 56HE,18C-33,,6.24813354,-75.54156395
CR 18D,56HC-04 (0111),,6.24797388,-75.54156051
CR 19,56HC-04 (0107),,6.2479196,-75.54163054
CR 18D,56HC-04 (0103),,6.24790777,-75.54171245
CL 101B,22D-08,,6.28952601,-75.53770227
CL 108,37-33 (0105),,6.29671847,-75.54614096
CL 101AB,22D-36,,6.28914453,-75.53807818
CR 52,100C-32 (0201),,6.29460416,-75.56032971
CL 51A,54A ESTE-246,,6.23647121,-75.47416977
CL 51A,54A ESTE-190 (0110),,6.23687568,-75.47488522
CL 105,48AA-50,,6.29548166,-75.55393504
CL 34 SUR,84A-455,,6.19699496,-75.66562277
CL 34 SUR,84A-425,,6.1969913,-75.66534455
CR 89A,43 SUR-23,,6.18314518,-75.66673124
CL 34 SUR,84A-423,,6.19698911,-75.66537283
CL 34 SUR,84A-431,,6.19698538,-75.66541968
CL 34 SUR,84A-439,,6.19698414,-75.66548472
CL 34 SUR,84A-437,,6.19698355,-75.66546233
CR 74,113-10,,6.30934347,-75.56943382
CL 113,72A-54,,6.30921276,-75.56942819
CL 113,72A-40,,6.30917132,-75.56930548
CR 31B,95B-04,,6.28649274,-75.54330599
CL 97,51A-16,,6.28997238,-75.56153613
CL 70CC,24EE-47,,6.26495269,-75.54036391
CR 31,85C-68 (0124),,6.27779754,-75.54426063
CR 24CC,69D-24,,6.26390006,-75.53947571
CR 25,75C-01 (0225),,6.26910258,-75.53717441
CL 79AA,30A-32 (0114),,6.27078649,-75.54378497
CL 93,31BA-28,,6.2842287,-75.54390111
CR 152A,82-757 (0130) LOTE,,6.30172135,-75.65748816
CR 152A,82-757 (0110) LOTE,,6.30101897,-75.65784049
CR 152A,82-721 (0115),,6.30105436,-75.65748429
CL 137,197-59 LOTE,,6.34339944,-75.69110807
CL 137,197-45,,6.34340137,-75.69102387
CR 152A,82-721 (0120) LOTE,,6.3012246,-75.65742038
CL 48DD,99EE-46 (0134),,6.26720245,-75.61513515
CL 48DD,99EE-46 (0138),,6.26710544,-75.61509188
CL 48DD,99EE-58,,6.26704288,-75.61526036
CR 25 ESTE,54-935 (0111),,6.2441766,-75.51495653
CR 25 ESTE,54-989 (0168),,6.24762205,-75.51235216
CR 22,18A SUR-29,,6.18035797,-75.56134196
CL 41 SUR,62-02 (0112),,6.1843832,-75.64263302
CL 41 SUR,62-02 (0117),,6.18433793,-75.64251272
CL 41 SUR,62-06,,6.18424816,-75.64261976
CR 22,19 SUR-69,,6.17981451,-75.5617156
CL 41 SUR,62-02 (0119),,6.18425796,-75.64258595
CR 22,19 SUR-190 LOTE,,6.17962481,-75.56187728
CR 69,36 SUR-165,,6.18829217,-75.64955603
CR 69,36 SUR-157,,6.18835381,-75.64962157
CR 69,36 SUR-169 (0104),,6.18822776,-75.64959009
CR 69,36 SUR-161,,6.18832034,-75.6495841
CL 41 SUR,62-02 (0115),,6.18440229,-75.64256364
CR 69A,36 SUR-146 (0106),,6.18825176,-75.64979683
CR 100,45-15 (0163),,6.29055123,-75.55197739
CL 100,45-79 (0140),,6.29052464,-75.55276814
CR 46,98-50 (0188),,6.2899343,-75.55265255
CL 100,45-15 (0150),,6.29028657,-75.551843
CL 100A,42B-161,,6.29052267,-75.55055921
CL 108,30A-71 (0104),,6.29833031,-75.54265602
CL 108,30A-71 (0102),,6.29846244,-75.54272237
CL 108,30A-71 (0112) LOTE,,6.29842868,-75.54286447
CL 108,30A-71 (0116),,6.29845244,-75.5428305
CL 110A,30A-68 (0104),,6.29876664,-75.54289572
CL 104,36B-20 LOTE,,6.29272375,-75.54530083
CR 28B,108F-09,,6.29925396,-75.5385719
CR 28C,108B-10,,6.29877257,-75.53980504
CL 108E,28B-05,,6.29919879,-75.53909683
CL 102B,32-161 (0172),,6.29205964,-75.54330055
CL 111,42BB-09,,6.3007235,-75.54606613
CR 28F,111-56 (0188),,6.3010691,-75.54092526
CL 51A,54A ESTE-190 (0108),,6.23662199,-75.47474373
CL 51A,54A ESTE-190 (0105),,6.23654265,-75.47462991
CL 51A,54A ESTE-128,,6.23626259,-75.47497368
CR 54A ESTE,51A-44,,6.23625682,-75.47617372
CL 124,46B-56,,6.30490634,-75.54911956
CL 48DD,101-70 (0108),,6.2606116,-75.61669536
CL 104,43B-35,,6.29344067,-75.55078583
CR 101,48A-71 (0101),,6.26037851,-75.61633674
CR 102,48DD-46,,6.26059651,-75.6171705
CL 107B,33B-46 (0105) LOTE,,6.29490677,-75.54404673
CL 107B,33B-08 LOTE,,6.29485682,-75.54391908
CR 54,100-141,,6.29435289,-75.56155967
CL 69A,68AE-80 (0126),,6.26310403,-75.54018128
CR 30,86-70 (0140),,6.2783372,-75.5430664
CR 34,71A-66 (0114),,6.2671303,-75.54594608
CL 70,24EE-38,,6.26420108,-75.54038095
CR 28A,71BB-07,,6.26746168,-75.54211842
CR 33,71B-09 (0110),,6.26728912,-75.54563912
CR 28,71B-50,,6.26746212,-75.54200978
CL 93,24C-28,,6.28400135,-75.54026342
CL 70B,24EE-42 (0130),,6.26451374,-75.54060441
CR 62B,32 SUR-89,,6.19499153,-75.64308389
CR 62B,32 SUR-69,,6.19535019,-75.64318851
CR 62B,32 SUR-61 (0172),,6.19525353,-75.64351859
CR 62B,32 SUR-75,,6.19529804,-75.64315875
