via,placa,numero_placa,latitud,longitud
CL 7B,42 ESTE-78 (0112),,6.20289941,-75.49545742
CL 7B,42 ESTE-78 (0119),,6.20357456,-75.4959302
CL 7B,42 ESTE-78 (0114),,6.20352157,-75.49612683
CL 79B,27C-27 LOTE,,6.27034975,-75.5420575
CL 79B,27C-09 (0106),,6.27037935,-75.54186385
CL 79B,27C-29,,6.27029938,-75.54204977
CL 79B,27C-35,,6.27025477,-75.54205973
CR 70A,24A-65,,6.22584371,-75.59196962
CR 70A,24A-69,,6.22586399,-75.59196531
CR 70A,24A-81,,6.22598443,-75.59194221
CR 71,24A-30,,6.22569004,-75.59228855
CR 70A,24A-75,,6.22592807,-75.59195319
CR 70A,24A-73,,6.22590698,-75.5919573
CR 70A,24A-03,,6.22530849,-75.59207387
CR 71,24A-18,,6.22561035,-75.59230307
CR 71,24A-16,,6.22558923,-75.59230666
CR 71,24A-20,,6.22562507,-75.59230057
CR 70A,24A-21,,6.22546782,-75.59204284
CR 71,24A-04,,6.22548636,-75.59232301
CR 71,24A-10,,6.22553176,-75.59231585
CR 28,71-20 (0115),,6.26536434,-75.54175073
CL 71,27-96,,6.26515687,-75.54187072
CR 28,71-20 (0123),,6.2653245,-75.54157585
CR 28,71-20 (0105),,6.26539012,-75.54193362
CL 71,27-102,,6.26516254,-75.54190726
CL 71,27-98 (0201),,6.26525847,-75.54188336
CR 28,71-20 (0129),,6.26530527,-75.54149147
CR 28,71-20 (0128),,6.26531574,-75.54153843
CR 28,71-20 (0110),,6.26537759,-75.54184328
CR 28,71-20 (0113),,6.26536802,-75.54177646
CR 28,71-20 (0112),,6.2653534,-75.5416963
CR 28,71-20 (0116) LOTE,,6.26534057,-75.54164452
CL 71,27-84,,6.26513859,-75.54175602
CR 36,50-50 (0105),,6.24409472,-75.55615634
CR 36,50-50 (0104),,6.24407294,-75.55616873
CR 36,50-50 (0103),,6.24406282,-75.55618913
CL 38A,27A-31 (0115),,6.23103367,-75.55733515
CL 38A,27A-51 (0106),,6.23081559,-75.55739396
CL 38A,X CR 27A  LT 0034,,6.23086865,-75.55741128
CR 87,X CL 104B  LT 0003,,6.30818717,-75.58504039
CL 105,87-179 LOTE,,6.30858167,-75.58636679
CL 105,87-229 LOTE,,6.30869458,-75.58696105
CL 105,87-230 LOTE,,6.30949003,-75.58707208
CL 105,87-298 LOTE,,6.30983208,-75.58770964
CL 105,87-297 LOTE,,6.30890517,-75.58755068
CL 105,87-374 LOTE,,6.30975665,-75.58820807
CR 91B,104-196 LOTE,,6.30768252,-75.58795324
CL 105,87-373 LOTE,,6.3089797,-75.5881714
CR 15D,X CL 45G  LT 0007,,6.23297531,-75.54454759
CR 15E,45C-01,,6.23285586,-75.54509665
CR 16A,X CL 45  LT 0002,,6.23268217,-75.5454924
CR 16A,X CL 45C  LT 0004,,6.23290308,-75.54523245
CR 16A,X CL 45  LT 0003,,6.23286198,-75.54527896
CL 46,15D-07,,6.2330823,-75.54456569
CL 45G,X CR 15D  LT 0006,,6.23299843,-75.54470908
CR 16A,X CL 46  LT 0031,,6.2332505,-75.54472413
CR 15D,X CL 45C  LT 0005,,6.23292252,-75.54493837
CR 219,134-44,,6.34239757,-75.703861
CR 219,134-20 (0107),,6.34211748,-75.70366697
CL 135,218-163 (0120),,6.34200996,-75.70318905
CL 135,218-249 (0160),,6.34305447,-75.70327453
CL 135,218-255,,6.34304588,-75.70332544
CL 135,218-265,,6.3430264,-75.7034256
CL 135,218-249 (0170),,6.3428894,-75.70331709
CL 135,218-163 (0140),,6.3423248,-75.70288616
CL 135,218-249 (0140),,6.34221514,-75.70338118
CR 219,134-26,,6.3422132,-75.70389607
CR 219,134-10 LOTE,,6.34204913,-75.70391406
CR 219,128-196 (0158),,6.34180272,-75.70369584
CR 219,128-196 (0150),,6.34179822,-75.7035791
CL 135,218-163 (0132),,6.34212831,-75.70356555
CL 135,218-163 (0138),,6.34192498,-75.70336089
CR 219,134-20 (0103),,6.34201531,-75.70369489
CR 219,128-196 (0162),,6.34180659,-75.70382214
CL 135,218-163 (0135),,6.34187167,-75.70344319
CR 219,134-78,,6.34271475,-75.70381936
CL 101,45A-35 (0301),,6.2913911,-75.5529419
CL 45E,X CR 14C  LT 0021,,6.23177665,-75.5432506
CL 45D,X CR 14B  LT 0018,,6.23160916,-75.54263069
CL 45G,14C-06,,6.23215116,-75.54306934
CL 45D,14D-03,,6.23154098,-75.54364225
CL 45CC,14C-53,,6.23137205,-75.543562
CL 45G,14D-06,,6.23218697,-75.54360926
CL 45D,14D-04,,6.23159413,-75.54365555
CL 45CC,14C-54,,6.23142298,-75.54355606
CL 45D,X CR 14C  LT 0001,,6.23156263,-75.54332756
CL 45D,X CR 14B  LT 0015,,6.23152658,-75.54284472
CL 45CC,14C-31,,6.23135611,-75.54335922
CL 45D,X CR 14D  LT 0014,,6.23174304,-75.54380312
CL 45E,14D-05,,6.2317016,-75.543639
CL 45F,14C-04,,6.23198975,-75.54308003
CR 14C,45CC-07,,6.23141736,-75.54309758
CL 45C,X CR 14B  LT 0010,,6.23114354,-75.54266675
CL 45G,X CR 14B  LT 0017,,6.2321174,-75.54279506
CL 46,14C-51,,6.23228951,-75.54348237
CL 45C,X CR 14D  LT 0012,,6.23124522,-75.54364915
CL 45E,X CR 14D  LT 0019,,6.23171537,-75.54361627
CL 45C,X CR 14C  LT 0011,,6.23119713,-75.54311145
CL 45G,X CR 14C  LT 0028,,6.23214991,-75.54305192
CL 45G,X CR 14B  LT 0027,,6.23217312,-75.54263199
CL 45CC,X CR 14B  LT 0013,,6.23136321,-75.54265429
CL 45D,14B-48,,6.2316506,-75.54300198
CL 45D,X CR 14C  LT 0016,,6.2315138,-75.54309065
CL 45C,14C-52,,6.23126419,-75.54357413
CL 45F,X CR 140  LT 0025,,6.2320507,-75.54407207
CL 45F,X CR 14C  LT 0024,,6.23202116,-75.5435277
CL 45D,X CR 14D  LT 0017,,6.2315742,-75.54362777
CL 46,14B-47,,6.23230398,-75.54294612
CL 61,128A-28,,6.27752278,-75.63365054
CL 50E SUR,75A-255 (0101),,6.17658573,-75.65590858
CL 50E SUR,75A-226,,6.1764193,-75.65526559
CL 50D SUR,83-14 LOTE,,6.17669536,-75.66026655
CR 51A,97-82 (0497),,6.29044361,-75.56023588
CR 51A,97-82 (0451),,6.29006542,-75.55985968
CR 51A,97-82 (0452),,6.29005075,-75.55984175
CR 51A,97-82 (0504),,6.29061402,-75.5602373
CR 51A,97-82 (0500),,6.29052409,-75.56022822
DG 74B,X CL 32  LT 0016,,6.23387337,-75.59510492
DG 74B,X CL 32  LT 0015,,6.23378095,-75.59520902
CR 74,X CL 31  LT 0027,,6.23380495,-75.59489763
CR 74,31-117,,6.23390795,-75.5948999
CL 77,45-85 (0104),,6.26992369,-75.55537557
CL 77,45-85 (0103),,6.26992907,-75.5554059
CR 29A,X CL 5 SUR  LT 0043,,6.19157667,-75.56362798
CL 7B SUR,29C-100,,6.19287312,-75.56549513
CL 5 SUR,29A-151,,6.1942832,-75.56379422
CR 29A,8 SUR-51,,6.18995396,-75.56398651
CR 29D,X CL 5 SUR  LT 0019,,6.19426477,-75.56491343
CR 29A,5 SUR-95,,6.19292706,-75.56309758
CL 5 SUR,29A-141,,6.19390385,-75.56338276
CR 29D,5 SUR-60,,6.19467217,-75.56453602
CR 29D,X CL 5 SUR  LT 0028,,6.19465087,-75.56469332
CR 29D,7B SUR-59 LOTE,,6.19191186,-75.56570459
CR 29A,5 SUR-125,,6.1927546,-75.56319631
CR 29,100C-65,,6.28989654,-75.54140234
CR 30,100C-76,,6.29003695,-75.54164588
CR 30,100C-70,,6.28998865,-75.54165651
CL 185,197-128 (0185) LOTE,,6.35752618,-75.696033
CL 185,197-128 (0180) LOTE,,6.35846757,-75.69665331
CL 185,197-128 (0168),,6.35899047,-75.69604262
CL 185,197-560 (0145) LOTE,,6.35747928,-75.69704312
CL 185,197-560 (0142) LOTE,,6.357462,-75.69690027
CL 185,197-560 (0138),,6.3573748,-75.6973861
CL 185,197-560 (0124),,6.35855432,-75.69786394
CL 185,197-560 (0150),,6.35785694,-75.69732103
CL 185,197-128 (0150),,6.35779339,-75.69572536
CL 185,197-128 (0205),,6.35818557,-75.69654293
CL 185,197-560 (0148),,6.3582608,-75.69744475
CL 185,197-128 (0175),,6.35791769,-75.69648486
CL 107,37A-37 (0103),,6.29377252,-75.54648277
CL 107,37A-37 (0104),,6.2937702,-75.54650313
CL 105A,37B-03 (0106),,6.29370139,-75.54655435
CL 105A,37B-03 (0107),,6.29365669,-75.54656832
CL 118B,42E-100,,6.30227418,-75.54714091
CL 118B,42E-44 (0102),,6.30242822,-75.54647674
CL 118B,42E-44 (0104),,6.30246884,-75.54641504
CL 118B,42E-46,,6.30240092,-75.54658488
CL 118B,42E-50,,6.30237192,-75.54664506
CL 118B,42E-44 (0108),,6.30259168,-75.54649621
CL 118B,42E-44 (0110),,6.30241426,-75.54647383
CL 118B,42E-56,,6.30237325,-75.54672947
CR 42E,118B-01,,6.30225963,-75.54632542
CR 42E,118B-07,,6.30227537,-75.54628862
CR 42E,118B-03,,6.30226673,-75.54630629
CR 42E,118B-01 (0105),,6.30236147,-75.54642569
CR 42E,118B-01 (0110),,6.30236641,-75.54641116
CR 42E,118B-01 (0111),,6.30237505,-75.54638575
CR 42E,118B-11,,6.30242805,-75.54630987
CR 42E,118B-27,,6.30253616,-75.54614874
CR 42E,118B-25,,6.30250661,-75.54615391
CR 42E,118B-33,,6.30257752,-75.54614149
CR 42E,118B-39,,6.30260729,-75.54613628
CR 42E,118B-31,,6.30256082,-75.54614442
CL 118B,42E-62,,6.30237995,-75.54678696
CR 43,118B-68,,6.3028883,-75.54717057
CR 43,118B-60,,6.30285948,-75.54715686
CR 42E,118B-01 (0108) LOTE,,6.30236266,-75.54645866
CL 118B,42E-54,,6.30236064,-75.54669256
CR 18AA,59D-112 (0120),,6.25290174,-75.53973615
CL 59C,16D-111 (0120),,6.252906,-75.53969441
CL 59C,16D-107,,6.25299875,-75.53966735
CL 59C,16D-111 (0101),,6.25299927,-75.53961846
CR 18AA,MZ 024 LT 0026,,6.25286515,-75.53969369
CL 9A SUR,X CR 37  LT 0003,,6.19281808,-75.57106434
CR 10,55-214 (0148) LOTE,,6.23678271,-75.53487385
CR 10,55-214 (0152),,6.236711,-75.5348202
CR 10,55-214 (0154),,6.23671422,-75.53479387
CR 10,55-214 (0161),,6.23657308,-75.53476902
CR 10,55-214 (0159),,6.23659231,-75.53476902
CR 10,55-228,,6.23663306,-75.53494337
CR 10,55-214 (0150),,6.23675343,-75.53484397
CR 10,55-214 (0149),,6.23674288,-75.53484024
CR 10,55-266 (0101) LOTE,,6.2368462,-75.53489654
CR 10,55-256,,6.23674736,-75.53499598
CR 10,55-214 (0157),,6.23664495,-75.53476994
CR 10,55-214 (0151),,6.23672975,-75.53483597
CR 58DD,83E-28,,6.27740439,-75.56662176
CR 58DD,83E-20,,6.27738521,-75.56656878
CR 58DD,83E-14,,6.27737925,-75.56654627
CL 83E,58B-53 (0108),,6.27743422,-75.5664493
CL 83E,58B-53 (0110),,6.27748231,-75.56645273
CL 83E,58B-53 (0105),,6.27737669,-75.56644716
CL 83E,58B-53 (0106),,6.27740574,-75.56644864
CR 12,55-110 (0111),,6.23714037,-75.53779407
CR 12,55-110 (0114),,6.23716789,-75.53772218
CR 13,55-110 (0126),,6.23708161,-75.53758343
CR 12,55-110 (0112),,6.23714127,-75.53776454
CR 12,54-60 (0105),,6.23712238,-75.53781616
CR 12,55-110 (0116),,6.23719177,-75.53769571
CR 13,55-110 (0125),,6.23714606,-75.53755869
CL 45,10A-235,,6.23097043,-75.54413977
CL 45,10A-303 (0138),,6.2307023,-75.54425855
CL 45,10A-303 (0140),,6.23067739,-75.54428296
CL 45,10A-223,,6.23088499,-75.54404955
CL 45,10A-209,,6.23080706,-75.5439753
CL 45,10A-211,,6.2308165,-75.54398518
CL 45,10A-233,,6.23094979,-75.54411833
CL 45,10A-303 (0136),,6.23069586,-75.54436448
CL 45,10A-303 (0148),,6.23059502,-75.5442456
CL 45,10A-303 (0141),,6.2306083,-75.54425942
CL 45,10A-303 (0152),,6.23058368,-75.54423379
CL 45,X CR 10A  LT 0092,,6.23078203,-75.54417017
CL 45,10A-303 (0142),,6.23070516,-75.54424499
CL 45,10A-229,,6.23091619,-75.54408302
CL 45,10A-215,,6.23083555,-75.54400236
CL 45,10A-217,,6.23084631,-75.5440139
CL 45,10A-219,,6.23085668,-75.54402502
CR 17A,56H-104,,6.24948272,-75.53882137
CR 17A,56H-102,,6.24945953,-75.53880062
CL 59AA,18BB-13,,6.25214588,-75.54125919
CL 59AA,18BB-11,,6.25214644,-75.54124063
CR 17A,56H-110,,6.2494976,-75.5388511
CR 82A,30-41 (0119),,6.23153797,-75.60463251
CR 82A,30-41 (0118),,6.23153831,-75.60461817
CR 82A,30-41 (0124),,6.23154326,-75.60440635
CR 82A,30-41 (0122),,6.23154162,-75.60447662
CR 82A,30-41 (0123),,6.23154114,-75.60449724
CR 82A,30-41 (0126),,6.23154484,-75.6043388
CR 82A,30-41 (0128),,6.23154635,-75.60427434
CR 82A,30-41 (0115),,6.2315337,-75.60481534
CR 82A,30-41 (0114),,6.23153404,-75.60480064
CR 82A,30-41 (0117),,6.23153617,-75.60470963
CR 82A,30-41 (0120),,6.23153955,-75.60456505
CR 48,98A-50,,6.28975016,-75.55551223
CR 48,98A-120,,6.29022514,-75.55516758
CR 48,98A-122,,6.29024772,-75.55515102
CR 47B,98A-97,,6.29002687,-75.55503953
CR 48,98A-64,,6.2898559,-75.55543556
CR 48,98A-30 LOTE,,6.28962185,-75.55560486
CR 47B,98A-83,,6.28993159,-75.55510875
CR 47B,98A-67,,6.28981466,-75.55519366
CR 47B,98A-107,,6.29010637,-75.55498194
CR 47B,98A-55,,6.28972129,-75.55526106
CR 48,98A-94,,6.29007242,-75.55527838
CR 47B,98A-101,,6.29006205,-75.55501403
CR 48,98A-116,,6.29020004,-75.55518597
CR 48,98A-114,,6.29018469,-75.5551972
CR 48,98A-108,,6.29014896,-75.55522328
CR 48,98A-98,,6.29010544,-75.55525467
CR 48,98A-144,,6.29040413,-75.55503805
CL 100A,37-20 (0106),,6.29013532,-75.54645636
CL 100A,37-40 (0110),,6.29000075,-75.54654475
CL 100A,37-40 (0106),,6.2900696,-75.54652772
CL 100A,37-50 (0101),,6.29008805,-75.54661202
CL 100A,37-50 (0110),,6.2900269,-75.54662393
CR 38,100A-36,,6.29019911,-75.54666868
CL 46,16A-03,,6.23339633,-75.54502614
CR 16B,X CL 45C  LT 0065,,6.2332253,-75.54547993
CL 46,16A-15,,6.23354005,-75.5451068
CR 16B,X CL 45C  LT 0073,,6.23349997,-75.54522685
CR 55A,56 SUR-37,,6.17469704,-75.63688385
CL 55 SUR,55A-51 LOTE,,6.17529055,-75.63714125
CR 55A,56 SUR-26,,6.17482556,-75.63677679
CR 55AA,56 SUR-32,,6.17466172,-75.63708162
CR 55AA,56 SUR-30,,6.17468665,-75.63708978
CR 55AA,56 SUR-24,,6.17475006,-75.63708875
CR 55,56 SUR-25,,6.17489751,-75.63657369
CR 54F,57 SUR-27 LOTE,,6.1748689,-75.63552201
CR 55A,56 SUR-38,,6.17471757,-75.63678188
CR 55A,56 SUR-27,,6.17478238,-75.63687199
CR 55AA,56 SUR-14,,6.17483583,-75.63707706
CR 55A,56 SUR-20,,6.17488001,-75.63677358
CR 55,56 SUR-13,,6.17501254,-75.63657043
CR 55AA,56 SUR-06,,6.17491677,-75.63708255
CR 55AA,56 SUR-08,,6.17488881,-75.63707347
CR 55AA,56 SUR-36,,6.17463349,-75.63709157
CR 55A,56 SUR-15,,6.17489837,-75.63686896
CR 55AA,56 SUR-18,,6.17480456,-75.63708625
CR 54F,57 SUR-07,,6.17512393,-75.63561472
CR 54F,57 SUR-21,,6.17498478,-75.63558675
CR 55A,56 SUR-31,,6.17475462,-75.63688282
CR 55A,56 SUR-33,,6.17472567,-75.63687369
CR 55A,56 SUR-21,,6.17484214,-75.63687226
CR 55A,56 SUR-19,,6.17486815,-75.63688029
CR 55A,56 SUR-07,,6.17498327,-75.63687632
CR 55A,56 SUR-09,,6.17495615,-75.63686871
CR 73,26B-10 (0113),,6.22834381,-75.59338366
CR 73,26B-14,,6.22836586,-75.59349959
CR 73,26B-18,,6.22842844,-75.59349855
CR 73,26B-22,,6.22845564,-75.59349768
CL 78,28AA-48 (0137),,6.26988403,-75.54302228
CL 78,28AA-48 (0141),,6.26975361,-75.54307048
CL 78,28AA-48 (0138),,6.26982953,-75.54305038
CL 78,28AA-48 (0143),,6.26974894,-75.54312132
CL 78,28AA-48 (0140),,6.26975458,-75.54306
CL 78,28AA-48 (0142),,6.26975062,-75.54310297
CL 78,28AA-48 (0139),,6.26975539,-75.54305116
CR 30,78-22 (0102),,6.26979726,-75.54326337
CL 99A,25C-36,,6.28770699,-75.5407011
CL 99B,25C-37,,6.28793809,-75.54068047
CL 99B,25C-29,,6.28793532,-75.54061103
CL 99B,25C-17,,6.2879319,-75.54052942
CR 36,92B-93,,6.28384026,-75.54593434
CR 36,92B-87,,6.28382799,-75.54592314
CL 92A,36BB-32,,6.2832949,-75.54653296
CR 24F,79C-160 (0115),,6.27239561,-75.53964107
CR 94CA,68C-50 LOTE,,6.29515744,-75.59585275
CL 67,94BB-41 (0101),,6.29517474,-75.5932722
CL 67,94BB-41 (0102),,6.29522898,-75.59326522
CL 68B,94BB-21,,6.29529503,-75.59324683
CL 68B,94BB-16,,6.29552942,-75.59327715
CL 68B,94C-20 (0114),,6.29532139,-75.59401273
CL 67,94BB-04,,6.29506569,-75.59314504
CL 67,94BB-32,,6.2951428,-75.5934096
CL 68C,94C-24,,6.29546643,-75.59392912
CL 67,94C-78,,6.2949892,-75.59433488
CR 94D,67-56 (0103),,6.29563157,-75.59593031
CL 67,94CH-32,,6.2952761,-75.59559083
CL 67,94C-20 (0107),,6.29526027,-75.59393013
CL 70,94CE-08,,6.29569083,-75.59511482
CR 94CG,67-48 (0110),,6.29552425,-75.59504572
CR 94CG,67-51 (0127),,6.29546708,-75.59492797
CR 94CD,67-51 (0125),,6.29540866,-75.59494329
CL 67,94C-20 (0109),,6.29527808,-75.59396208
CR 94CB,68C-44,,6.29551313,-75.5944675
CL 67,94CB-48 (0112),,6.29536958,-75.59469755
CL 67,94CB-28,,6.29512014,-75.5946461
CL 67,94CB-10,,6.29513139,-75.59457595
CL 67,94C-92,,6.29509173,-75.59451836
CL 68C,94CA-24,,6.29527443,-75.59432058
CR 94CA,68C-02,,6.29536904,-75.59413851
CL 68B,94BB-22,,6.29546721,-75.59350834
CR 94CD,67-51 (0110),,6.29528342,-75.59494171
CL 68B,94BB-52,,6.29528807,-75.59346112
CR 94BA,68-33 (0135),,6.29567056,-75.59348944
CR 67,94CB-48 (0110),,6.2952949,-75.59467362
CR 94CE,67-76 (0125),,6.29580425,-75.59483625
CR 94CE,67-76 (0115),,6.29577646,-75.5949509
CR 94CH,67-43 (0104),,6.2954446,-75.59558149
CR 94CA,68C-17,,6.29551341,-75.59422935
CR 94CB,68C-28,,6.29542443,-75.59444589
CL 68C,94CA-14,,6.29526533,-75.59422469
CR 94BA,68-33 (0130),,6.29560785,-75.59343743
CL 67,94CH-56,,6.29520096,-75.59573274
CL 80,94CG-58,,6.29605008,-75.59621641
CR 94CE,67-76 (0110),,6.29575583,-75.59489376
CR 94CH,67-61 (0134),,6.29558864,-75.59571741
CL 67,94CB-48 (0134),,6.29520773,-75.59472672
CR 94CB,68C-15,,6.29524814,-75.59441927
CR 94CA,68C-07,,6.29533019,-75.5941379
CL 67,94CB-48 (0109),,6.29520553,-75.59467091
CR 94CA,68C-25,,6.29556832,-75.59425229
CL 70,94BA-21,,6.29596581,-75.59371386
CR 94CB,68C-101,,6.2959567,-75.59476751
CR 94CB,68C-54,,6.29556508,-75.59448512
CR 94BA,68-36 (0180),,6.29593551,-75.59294733
CR 94CD,67-51 (0115),,6.29535175,-75.59496643
CL 70,94CD-23,,6.29566855,-75.59509372
CL 70,94CD-17 (0122),,6.29565065,-75.59504231
CL 70,94CD-17 (0121),,6.29563302,-75.59503529
CL 80,94CG-62,,6.29599437,-75.59627248
CL 67,94CB-26,,6.29518036,-75.59461216
CR 94CB,68C-51,,6.29549788,-75.59449922
CL 70,94C-50 (0120),,6.29592805,-75.59438033
CL 67,94C-20 (0120),,6.29516173,-75.59390493
CL 67,94C-20 (0121),,6.29514986,-75.59389638
CL 67,94C-20 (0118),,6.29520987,-75.59393962
CL 67,94C-20 (0105),,6.29521725,-75.59390943
CR 94CB,70-18 (0110),,6.29596688,-75.5945283
CR 94CA,68C-43,,6.29576468,-75.59439947
CR 94CA,68C-39,,6.29570369,-75.5943678
CR 94BA,68-33 (0163),,6.29568684,-75.59327559
CR 98,79BB-15 (0102),,6.29527958,-75.59599338
CL 70,94CD-29,,6.29564578,-75.59515082
CR 98,79BB-15 (1056),,6.29575638,-75.59506516
CR 94CB,68C-33,,6.29539829,-75.59445008
CL 67,94BB-46,,6.29515349,-75.59358915
CR 94BA,68-33 (0157),,6.29565374,-75.59331467
CR 94BA,68-33 (0167),,6.29570489,-75.59324179
CR 94BA,68-33 (0169),,6.29572481,-75.59321672
CL 70,94BA-17 (0109),,6.29587443,-75.59360683
CL 70,94BA-17 (0111),,6.29585633,-75.59363264
CL 70,94BA-17 (0113),,6.29592205,-75.59363007
CL 70,94BA-25,,6.29592763,-75.59377051
CL 67,94C-20 (0111),,6.29533293,-75.59396937
CR 94CA,68C-34,,6.29568681,-75.59428143
CR 94CA,68C-32,,6.29566118,-75.59426522
CR 94C,67-59 (0107),,6.29576354,-75.59393694
CR 94C,67-59 (0108),,6.29580002,-75.59393081
CR 94C,67-59 (0110),,6.29584113,-75.59392723
CR 94C,67-59 (0102),,6.29573775,-75.59381734
CR 94C,67-59 (0101),,6.29573399,-75.5937918
CR 94CB,70-18 (0116),,6.29610086,-75.59466544
CL 67,94CB-48 (0130),,6.29532493,-75.5947082
CR 94CD,67-48 (0116),,6.29561996,-75.59469991
CR 94CB,68C-75,,6.29572736,-75.59453513
CR 94CD,67-48 (0121),,6.29572205,-75.59470447
CL 70,94CD-17 (0118),,6.29558477,-75.59501055
CR 94CG,70-36 (0102),,6.29598127,-75.59528922
CR 94CG,70-36 (0105),,6.29602716,-75.59528854
CR 94CE,70-33 (0110),,6.29602015,-75.59517515
CR 94CD,67-43 (0112),,6.29537297,-75.59501976
CR 94CG,67-51 (0108),,6.29548484,-75.59499205
CR 94CG,67-51 (0107),,6.29547512,-75.59499169
CL 70,94CD-17 (0108),,6.29560936,-75.59501581
CR 94BA,68-56 (0172),,6.29595181,-75.59324218
CL 80,94CH-61,,6.29596702,-75.59617113
CL 80,94CH-65,,6.29595281,-75.59618998
CR 94D,67-56 (0104),,6.29572693,-75.59599365
CR 94D,67-56 (0106),,6.2955751,-75.5959672
CR 94CH,67-43 (0106),,6.2954957,-75.5956178
CR 94CH,67-61 (0112),,6.29554174,-75.5958164
CR 94BA,68-56 (0157),,6.29609431,-75.59325606
CR 94BA,68-56 (0150),,6.29612789,-75.59326691
CR 94BA,68-56 (0109),,6.29603441,-75.59322893
CR 94BA,68-56 (0105),,6.29598028,-75.5931983
CR 94BA,68-38 (0158),,6.29588855,-75.59291071
CR 94BA,68-38 (0152),,6.29587007,-75.59288831
CR 94BA,68-38 (0154),,6.29587277,-75.59289192
CL 74,94BB-21 (0113),,6.29609783,-75.59398791
CR 94CH,67-61 (0114),,6.29556376,-75.59575614
CR 94CB,67-15 (0105),,6.2950754,-75.5944656
CR 94D,67-11 (0105),,6.29532901,-75.59602875
CL 88,X CR 48  LT 0041,,6.28025766,-75.55576338
CR 66B,32C-43,,6.23745178,-75.58755172
CR 66B,32C-45,,6.23747213,-75.58755231
CR 66B,32C-47,,6.23749106,-75.58755287
CR 66B,32C-51,,6.23757864,-75.58755542
CR 66C,32C-46,,6.23750152,-75.5879418
CR 66C,32D-02,,6.23757025,-75.5879438
CR 82A,X CL 15B  LT 0040,,6.22232698,-75.60421972
CR 82A,X CL 15B  LT 0031,,6.22220143,-75.60413457
CR 82B,X CL 15B  LT 0041,,6.22226621,-75.60453519
CR 82B,X CL 15B  LT 0018,,6.22187321,-75.60446915
CR 82B,15B-34,,6.22214123,-75.60442305
CR 86A,X CL 37  LT 0050,,6.24638692,-75.60936933
CR 86A,X CL 37  LT 0051,,6.24641831,-75.60940173
CR 120C,39FC-34,,6.25449652,-75.62993405
CR 120,39FC-25,,6.25420284,-75.62963684
CR 120,39FC-09,,6.25421781,-75.62968842
CR 120C,39FC-40 (0105),,6.25450792,-75.62984152
CR 120,39FC-29 (0104),,6.25433723,-75.62961813
CR 120,39FC-29 (0103),,6.25437588,-75.62972416
CR 120,39FC-29 (0105),,6.25435304,-75.62972569
CR 120,39FC-29 (0101),,6.2543252,-75.62974541
CR 50D,97-18 (0107),,6.28957411,-75.55977658
CR 50D,97-34 (0102),,6.28970447,-75.5596927
CR 54,100-69 (0125),,6.29397969,-75.56193724
CR 54,100-21 (2005) LOTE,,6.29388153,-75.56206312
CR 54,100-69 (0115),,6.29397372,-75.56198329
CR 54,100-69 (0128),,6.29405436,-75.56192228
CR 54,100-49 (0110),,6.29386528,-75.56200344
CR 54,100-69 (0134),,6.29414169,-75.56203873
CR 54,100-69 (0119),,6.29396616,-75.56200583
CR 52,92-127 (0115),,6.28534197,-75.5635144
CR 55,X CL 93E  LT 0173,,6.28531941,-75.56401729
CR 52,X CL 92  LT 0093,,6.28539015,-75.56360268
CR 53,91-41 (0107),,6.28396102,-75.56408888
CR 52,X CL 92  LT 0094,,6.28536547,-75.56355783
CR 53,91-41 (0110),,6.28393015,-75.56398743
CR 53B,X CL 92A  LT 0211 MJ 002,,6.28459679,-75.56399032
CR 52,X CL 92  LT 0097,,6.28530004,-75.56343989
CR 53,91-41 (0112),,6.28391267,-75.56395341
CR 53B,X CL 92  LT 0193 MJ 002,,6.28421121,-75.56408842
CR 53B,X CL 92  LT 0197 MJ 002,,6.28443922,-75.5640066
CR 52,92-127 (0110),,6.28526067,-75.5634055
CR 55,X CL 92A  LT 0238,,6.28508219,-75.56410226
CR 53A,92B-36,,6.28509038,-75.56357979
CR 52,X CL 92  LT 0096,,6.2853211,-75.5634764
CR 22B,57EA-09,,6.25144093,-75.54369814
CR 22B,57EA-11,,6.25145719,-75.54371312
CR 23,57B-06 (0110),,6.24955648,-75.54366869
CR 23,57B-06 (0210),,6.24957212,-75.54364856
CR 22B,57EA-05,,6.25141112,-75.54367068
CR 22B,57EA-03,,6.25138402,-75.54364572
DG 74B,32F-05,,6.23875679,-75.59062486
CR 131B,56-55 (0111),,6.27296736,-75.63746757
CR 131B,56-55 (0108),,6.27306926,-75.63734858
CR 131B,56-55 (0105),,6.27313484,-75.63732946
CR 131B,56-55 (0135),,6.27319244,-75.6373583
CR 131B,56-55 (0130),,6.27315624,-75.63733536
CR 131B,56-55 (0125),,6.27290628,-75.63753152
CL 59,131B-41 (0118) LOTE,,6.27357943,-75.63773757
CL 49B,X CR 67B  LT 0013,,6.25691057,-75.58443273
CR 67B,X CL 49B  LT 0014,,6.25667179,-75.58422574
CR 67B,48D-73,,6.25621979,-75.58444316
CR 48A,105A-32,,6.29558799,-75.5530963
CL 105A,47-40 (0112) LOTE,,6.29542408,-75.55310474
CL 30,82C-02,,6.23116223,-75.60515858
CL 8A,42 ESTE-679,,6.20529536,-75.49167928
CL 7,42 ESTE-654,,6.20264965,-75.49163823
CR 42 ESTE,7B-400 (0111),,6.20509798,-75.49616333
CR 42 ESTE,7B-400 (0112),,6.20529032,-75.49611244
