codigo_igac	departamento	municipio	barrio	via	placa	numero_placa	observaciones	latitud	longitud
OSM-13797304836	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 48A-2	48A-2	Origen: OpenStreetMap	6.0931214	-75.6349229
OSM-13797304852	ANTIOQUIA	Caldas		Calle	Calle 127 Sur # 48A-23	48A-23	Origen: OpenStreetMap	6.0938043	-75.6351295
OSM-13797642895	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 49-4	49-4	Origen: OpenStreetMap	6.093094	-75.6353828
OSM-13797642896	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 49-54	49-54	Origen: OpenStreetMap	6.093073	-75.6358532
OSM-13797642897	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 49-60	49-60	Origen: OpenStreetMap	6.0930692	-75.635946
OSM-13797642898	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 49-60	49-60	Origen: OpenStreetMap	6.0930672	-75.6359976
OSM-13797642899	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 49-72	49-72	Origen: OpenStreetMap	6.0930656	-75.6360515
OSM-13797642900	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 127 Sur-66	127 Sur-66	Origen: OpenStreetMap	6.0931802	-75.6360707
OSM-13797687153	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 127 Sur-27	127 Sur-27	Origen: OpenStreetMap	6.0935457	-75.6362381
OSM-13797687154	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 127 Sur-23	127 Sur-23	Origen: OpenStreetMap	6.093594	-75.6362453
OSM-13797687155	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 127 Sur-9	127 Sur-9	Origen: OpenStreetMap	6.0936768	-75.6362466
OSM-13797687156	ANTIOQUIA	Caldas		Carrera	Carrera 51 # 127 Sur-62	127 Sur-62	Origen: OpenStreetMap	6.0931966	-75.6368952
OSM-13797687158	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 50-28	50-28	Origen: OpenStreetMap	6.0930478	-75.6364849
OSM-13797687161	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 127 Sur-59	127 Sur-59	Origen: OpenStreetMap	6.093283	-75.6362938
OSM-13797687162	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 127-53	127-53	Origen: OpenStreetMap	6.0931784	-75.6362167
OSM-13805274588	ANTIOQUIA	Caldas		Calle	Calle 129 Sur # 50-16	50-16	Origen: OpenStreetMap	6.0922721	-75.6363042
OSM-13805274592	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 128 Sur-59	128 Sur-59	Origen: OpenStreetMap	6.0924183	-75.6361786
OSM-13805274593	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 128 Sur-53	128 Sur-53	Origen: OpenStreetMap	6.092469	-75.6361819
OSM-13805274594	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 128 Sur-47	128 Sur-47	Origen: OpenStreetMap	6.0925066	-75.6361843
OSM-13805274595	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 128 Sur-43	128 Sur-43	Origen: OpenStreetMap	6.0925263	-75.6361855
OSM-13805274596	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 128 Sur-35	128 Sur-35	Origen: OpenStreetMap	6.0925901	-75.6361896
OSM-13805274597	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 128 Sur-29	128 Sur-29	Origen: OpenStreetMap	6.0926601	-75.6361941
OSM-13805274598	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 128 Sur-21	128 Sur-21	Origen: OpenStreetMap	6.0927374	-75.636199
OSM-13805274600	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 127 Sur-5	127 Sur-5	Origen: OpenStreetMap	6.0929062	-75.6362098
